Project,Timestamp,What is your role in this project?,How many years of development experiece do you have?,How familiar are you with this type of project?,The release note sufficiently covers the changes made between the versions.,The release note accurately reflects the changes made in the project in an understandable manner.,"The release note is concise, providing just the right amount of information.",The information is structured in a clear and understandable way.,The release note sufficiently covers the changes made between the versions.,The release note accurately reflects the changes made in the project in an understandable manner.,"The release note is concise, providing just the right amount of information.",The information is structured in a clear and understandable way.,The release note sufficiently covers the changes made between the versions.,The release note accurately reflects the changes made in the project in an understandable manner.,"The release note is concise, providing just the right amount of information.",The information is structured in a clear and understandable way.,The release note sufficiently covers the changes made between the versions.,The release note accurately reflects the changes made in the project in an understandable manner.,"The release note is concise, providing just the right amount of information.",The information is structured in a clear and understandable way.,"Are you currently using, or have you previously used, any release note generation tools? ","If yes, how would you compare the generator you are using, or have previously used, to Release Note A (shown below)?"
Zulip,2024/09/04 2:30:42 pm GMT+8,Other,2 to 4 years,Familiar,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Neither Agree or Disagree,Agree,Agree,Disagree,Disagree,Neither Agree or Disagree,Strongly Disagree,Strongly Disagree,Disagree,No,
Continue,2024/09/04 2:26:08 pm GMT+8,Other,2 to 4 years,Familiar,Agree,Agree,Disagree,Neither Agree or Disagree,Agree,Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Neither Agree or Disagree,Disagree,No,
jan,2024/09/04 11:52:47 am GMT+8,Other,2 to 4 years,Familiar,Agree,Agree,Neither Agree or Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,No,
Stirling-PDF,2024/09/04 11:50:58 am GMT+8,Other,2 to 4 years,Familiar,Agree,Agree,Neither Agree or Disagree,Agree,Agree,Neither Agree or Disagree,Neither Agree or Disagree,Agree,Agree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,N/A,N/A,N/A,N/A,No,
Continue,2024/09/04 11:33:08 am GMT+8,Other,2 to 4 years,Familiar,Agree,Agree,Disagree,Neither Agree or Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,No,
UniGetUI,2024/09/04 10:21:28 pm GMT+8,Other,2 to 4 years,Unfamiliar,Agree,Agree,Agree,Agree,Disagree,Neither Agree or Disagree,Disagree,Neither Agree or Disagree,Agree,Agree,Disagree,Agree,N/A,N/A,N/A,N/A,No,
es-toolkit,2024/09/04 10:16:31 pm GMT+8,Other,2 to 4 years,Unfamiliar,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Neither Agree or Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,No,
langchain,2024/09/04 10:08:42 pm GMT+8,Other,2 to 4 years,Unfamiliar,Agree,Agree,Agree,Neither Agree or Disagree,Agree,Disagree,Neither Agree or Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither Agree or Disagree,No,
Zulip,2024/09/04 1:23:26 pm GMT+8,Other,Less than 1 year,Familiar,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neither Agree or Disagree,Agree,Neither Agree or Disagree,Neither Agree or Disagree,Disagree,No,
RustDesk,2024/09/03 2:14:49 pm GMT+8,User,2 to 4 years,Familiar,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,
jan,2024/09/03 11:05:44 am GMT+8,Other,4 to 8 years,Familiar,Disagree,Neither Agree or Disagree,Disagree,Agree,Disagree,Agree,Neither Agree or Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,No,
Stirling-PDF,2024/09/03 10:57:42 am GMT+8,Other,4 to 8 years,Familiar,Agree,Agree,Neither Agree or Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,N/A,N/A,N/A,N/A,No,
langchain,2024/09/03 10:46:30 am GMT+8,User,4 to 8 years,Familiar,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Agree,Neither Agree or Disagree,No,
Continue,2024/09/03 10:35:53 am GMT+8,Other,4 to 8 years,Familiar,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Neither Agree or Disagree,Agree,Strongly Agree,Agree,Neither Agree or Disagree,No,
grpcurl,2024/09/03 1:29:10 pm GMT+8,Other,More than 8 years,Neither Familiar or Unfamiliar,Strongly Agree,Agree,Neither Agree or Disagree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,N/A,N/A,N/A,N/A,No,
langchain,2024/09/02 9:27:36 pm GMT+8,User,4 to 8 years,Familiar,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Neither Agree or Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Yes,"This looks well structured, understandable and contains the right amount of information."
chezmoi,2024/08/31 4:04:13 pm GMT+8,Other,2 to 4 years,Neither Familiar or Unfamiliar,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Neither Agree or Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Yes,"This one is more powerful, but GitHub's release note generator is clear enough for me to use in some small projects."
RustDesk,2024/08/31 3:48:54 pm GMT+8,Other,2 to 4 years,Very Unfamiliar,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Yes,"This one is more powerful, but GitHub's release note generator is enough for me to use."
Continue,2024/08/31 3:20:33 pm GMT+8,Other,2 to 4 years,Very Unfamiliar,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neither Agree or Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,"This one is quite more powerful than what I have used. However, for small foss projects, I'll still use the default generator in GitHub for convenience because it's enough. :)"
SniffNet,2024/08/31 11:56:39 am GMT+8,Other,2 to 4 years,Unfamiliar,Strongly Agree,Strongly Agree,Agree,Agree,Neither Agree or Disagree,Agree,Disagree,Disagree,Neither Agree or Disagree,Agree,Agree,Agree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,No,
umbrelOS,2024/08/31 11:54:32 am GMT+8,Other,1 to 2 years,Very Unfamiliar,Agree,Neither Agree or Disagree,Agree,Agree,N/A,N/A,N/A,N/A,Agree,Agree,Agree,Agree,N/A,N/A,N/A,N/A,No,
Continue,2024/08/24 1:14:25 am GMT+8,Maintainer,4 to 8 years,Very Familiar,Strongly Agree,Agree,Neither Agree or Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Yes,"We are using Changie. We still have to write the majority of the actual content so this is much more comprehensive. Changie would work well is we adhered to semantic commits more strictly, but at the moment that is too much overhead for us. So having a tool that can still pull out the overview of a commit without forcing developers to be rigid about semantic commit labelling is quite nice."
